Title,Author,Year,Language,Extension,Size,Download Date,File Path
The Burning Forest: India’s War Against the Maoists,Nandini Sundar,2019,English,epub,1 Mb,2024-09-30 21:03:28,./downloads/Nandini Sundar - The Burning Forest India’s War Against the Maoists.epub
A Functioning Anarchy?: Essays for Ramachandra Guha,Nandini SundarandSrinath Raghavan (eds.),2021,English,epub,657 Kb,2024-09-30 21:03:46,./downloads/Nandini SundarandSrinath Raghavan (eds) - A Functioning Anarchy Essays for Ramachandra Guha.epub
Selected Writings on Race and Difference (Stuart Hall: Selected Writings),"Hall,Stuart",2021,English,epub,709 Kb,2024-09-30 21:04:30,"./downloads/Hall,Stuart - Selected Writings on Race and Difference (Stuart Hall Selected Writings).epub"
Selected Writings on Race and Difference,Stuart Hall,2021,English,epub,641 Kb,2024-09-30 21:04:30,./downloads/Stuart Hall - Selected Writings on Race and Difference.epub
The Hard Road to Renewal: Thatcherism and the Crisis of the Left,Stuart Hall,2021,English,epub,485 Kb,2024-09-30 21:04:37,./downloads/Stuart Hall - The Hard Road to Renewal Thatcherism and the Crisis of the Left.epub
Writings on Media: History of the Present,"Stuart Hall (Author),Charlotte Brunsdon (Editor)",2021,English,epub,1 Mb,2024-09-30 21:04:54,"./downloads/Stuart Hall (Author),Charlotte Brunsdon (Editor) - Writings on Media History of the Present.epub"
"Essential Essays, Volume 2: Identity and Diaspora","Stuart Hall,David Morley",2019,English,epub,785 Kb,2024-09-30 21:04:55,"./downloads/Stuart Hall,David Morley - Essential Essays, Volume 2 Identity and Diaspora.epub"
"Essential Essays, Volume 2 (Stuart Hall: Selected Writings)",Stuart Hall,2018,English,epub,478 Kb,2024-09-30 21:05:07,"./downloads/Stuart Hall - Essential Essays, Volume 2 (Stuart Hall Selected Writings).epub"
"Essential Essays, Volume 1 (Stuart Hall: Selected Writings)","Hall,Stuart",2018,English,epub,711 Kb,2024-09-30 21:05:24,"./downloads/Hall,Stuart - Essential Essays, Volume 1 (Stuart Hall Selected Writings).epub"
Cultural Studies 1983,"Hall,Stuart",2016,English,epub,262 Kb,2024-09-30 21:05:37,"./downloads/Hall,Stuart - Cultural Studies 1983.epub"
"Young people in the labour market: past, present, future","Furlong, Andy,Goodwin, John,Hadfield, Sarah;John Goodwin;Henrietta O’Connor;Sarah Hadfield;Stuart Hall;Kevin Lowden;Réka Plugor",2019,English,epub,3 Mb,2024-09-30 21:05:53,"./downloads/Furlong, Andy,Goodwin, John,Hadfield, Sarah;John Goodwin;Henrietta O’Connor;Sarah Hadfield;Stuart Hall;Kevin Lowden;Réka Plugor - Young people in the labour market past, present, future.epub"
Resistance through rituals: youth subcultures in post-war Britain,"Hall,Stuart,Jefferson,Tony",,English,epub,1 Mb,2024-09-30 21:06:24,"./downloads/Hall,Stuart,Jefferson,Tony - Resistance through rituals youth subcultures in post-war Britain.epub"
Familiar stranger: a life between two islands,"Großbritannien Consulate;Hall, Stuart;Schwarz, Bill",2017,English,epub,10 Mb,2024-09-30 21:09:05,"./downloads/Großbritannien Consulate;Hall, Stuart;Schwarz, Bill - Familiar stranger a life between two islands.epub"
Wired. For a Life of Worship Leader's Guide,"Louie Giglio,Stuart Hall",2006,English,epub,21 Mb,2024-09-30 21:14:23,"./downloads/Louie Giglio,Stuart Hall - Wired For a Life of Worship Leader's Guide.epub"
"Culture and Politics: Class, Writing, Socialism",Raymond Williams,2022,English,epub,314 Kb,2024-09-30 21:14:52,"./downloads/Raymond Williams - Culture and Politics Class, Writing, Socialism.epub"
May Day Manifesto 1968,Raymond Williams,2018,English,epub,611 Kb,2024-09-30 21:15:04,./downloads/Raymond Williams - May Day Manifesto 1968.epub
Resources of Hope,Raymond Williams,2016,English,epub,591 Kb,2024-09-30 21:15:15,./downloads/Raymond Williams - Resources of Hope.epub
"The Centenary Edition Raymond Williams: Who Speaks for Wales? Nation, Culture, Identity",Raymond Williams,2021,English,epub,843 Kb,2024-09-30 21:15:16,"./downloads/Raymond Williams - The Centenary Edition Raymond Williams Who Speaks for Wales Nation, Culture, Identity.epub"
Culture and Society: Coleridge to Orwell,Raymond Williams,2015,English,epub,410 Kb,2024-09-30 21:15:22,./downloads/Raymond Williams - Culture and Society Coleridge to Orwell.epub
Politics and letters : interviews with New Left Review,"Dyer, Geoff;Williams, Raymond",2015,English,epub,656 Kb,2024-09-30 21:15:40,"./downloads/Dyer, Geoff;Williams, Raymond - Politics and letters interviews with New Left Review.epub"
Politics and letters: interviews with New Left Review,"Williams,Raymond",2015,English,epub,2 Mb,2024-09-30 21:16:38,"./downloads/Williams,Raymond - Politics and letters interviews with New Left Review.epub"
Akka in Action,"Raymond Roestenburg,Rob Bakker,Rob Williams",2016,English,epub,4 Mb,2024-09-30 21:16:51,"./downloads/Raymond Roestenburg,Rob Bakker,Rob Williams - Akka in Action.epub"
Modern tragedy,"Williams,Raymond",2013,English,epub,268 Kb,2024-09-30 21:16:54,"./downloads/Williams,Raymond - Modern tragedy.epub"
The Country And The City,Raymond Williams,2013,English,epub,584 Kb,2024-09-30 21:17:10,./downloads/Raymond Williams - The Country And The City.epub
The Columbia Guide to the Latin American Novel Since 1945,"Williams,Raymond L",2007;2012,English,epub,1 Mb,2024-09-30 21:17:22,"./downloads/Williams,Raymond L - The Columbia Guide to the Latin American Novel Since 1945.epub"
Television: Technology and Cultural Form,"Williams, Raymond;Silverstone, Roger",2004;2011,English,epub,390 Kb,2024-09-30 21:17:30,"./downloads/Williams, Raymond;Silverstone, Roger - Television Technology and Cultural Form.epub"
The Long Revolution,Raymond Williams,2011,English,epub,1 Mb,2024-09-30 21:17:35,./downloads/Raymond Williams - The Long Revolution.epub
The Novel in the Americas,Raymond L. Williams,1992,English,epub,324 Kb,2024-09-30 21:17:57,./downloads/Raymond L Williams - The Novel in the Americas.epub
Mario Vargas Llosa: a life of writing,Raymond Leslie Williams,2014,English,epub,2 Mb,2024-09-30 21:18:44,./downloads/Raymond Leslie Williams - Mario Vargas Llosa a life of writing.epub
Culture and Materialism,Raymond Williams,2010,English,epub,3 Mb,2024-09-30 21:20:54,./downloads/Raymond Williams - Culture and Materialism.epub
The Uses of Literacy: Aspects of Working-Class Life,Richard Hoggart,2009,English,epub,860 Kb,2024-09-30 21:21:20,./downloads/Richard Hoggart - The Uses of Literacy Aspects of Working-Class Life.epub
"Between Two Worlds: Politics, Anti-Politics, and the Unpolitical",Richard Hoggart,2001,English,epub,751 Kb,2024-09-30 21:21:22,"./downloads/Richard Hoggart - Between Two Worlds Politics, Anti-Politics, and the Unpolitical.epub"
Liberty and Legislation,Richard Hoggart,1989,English,epub,676 Kb,2024-09-30 21:21:31,./downloads/Richard Hoggart - Liberty and Legislation.epub
The Tyranny of Relativism: Culture and Politics in Contemporary English Society,Richard Hoggart,1998,English,epub,708 Kb,2024-09-30 21:21:33,./downloads/Richard Hoggart - The Tyranny of Relativism Culture and Politics in Contemporary English Society.epub
The uses of literacy: aspects of working-class life,Richard Hoggart;Simon Hoggart;Lynsey Hanley,2009,English,epub,3 Mb,2024-09-30 21:22:39,./downloads/Richard Hoggart;Simon Hoggart;Lynsey Hanley - The uses of literacy aspects of working-class life.epub
"The Politics of Dispossession: The Struggle for Palestinian Self-Determination, 1969-1994",Edward Said,2012,English,epub,2 Mb,2024-09-30 21:23:28,"./downloads/Edward Said - The Politics of Dispossession The Struggle for Palestinian Self-Determination, 1969-1994.epub"
Joseph Conrad and the Fiction of Autobiography,Edward Said;Andrew N. Rubin (ed.),2008,English,epub,1006 Kb,2024-09-30 21:23:29,./downloads/Edward Said;Andrew N Rubin (ed) - Joseph Conrad and the Fiction of Autobiography.epub
Parallels and paradoxes : explorations in music and society,"Beethoven, Ludwig van;Wagner, Richard;Barenboim, Daniel;Guzelimian, Ara;Wagner, Richard;Beethoven, Ludwig van;Said, Edward W",2008,English,epub,2 Mb,2024-09-30 21:23:47,"./downloads/Beethoven, Ludwig van;Wagner, Richard;Barenboim, Daniel;Guzelimian, Ara;Wagner, Richard;Beethoven, Ludwig van;Said, Edward W - Parallels and paradoxes explorations in music and society.epub"
From Oslo to Iraq and the Road Map: Essays,Edward Said,2007,English,epub,1002 Kb,2024-09-30 21:24:03,./downloads/Edward Said - From Oslo to Iraq and the Road Map Essays.epub
On Late Style: Music and Literature Against the Grain,Edward W. Said,2006,English,epub,2 Mb,2024-09-30 21:24:04,./downloads/Edward W Said - On Late Style Music and Literature Against the Grain.epub
Freud and the Non-European,"Edward W. Said,Christopher Bollas,Jacqueline Rose",2004,English,epub,977 Kb,2024-09-30 21:24:13,"./downloads/Edward W Said,Christopher Bollas,Jacqueline Rose - Freud and the Non-European.epub"
Reflections on Exile and Other Essays,Edward W. Said,2002,English,epub,759 Kb,2024-09-30 21:24:30,./downloads/Edward W Said - Reflections on Exile and Other Essays.epub
Representations of the Intellectual:  The 1993 Reith Lectures,Edward W. Said,1996,English,epub,2 Mb,2024-09-30 21:25:05,./downloads/Edward W Said - Representations of the Intellectual The 1993 Reith Lectures.epub
Culture and Imperialism,Edward W. Said,1994,English,epub,2 Mb,2024-09-30 21:25:07,./downloads/Edward W Said - Culture and Imperialism.epub
The question of Palestine,"Said,Edward W",1992,English,epub,760 Kb,2024-09-30 21:25:26,"./downloads/Said,Edward W - The question of Palestine.epub"
Out of Place: A Memoir,Edward W. Said,2000,English,epub,3 Mb,2024-09-30 21:25:46,./downloads/Edward W Said - Out of Place A Memoir.epub
Orientalism,Edward W. Said,1979,English,epub,2 Mb,2024-09-30 21:26:29,./downloads/Edward W Said - Orientalism.epub
Be Creative: Making a Living in the New Culture Industries,Angela McRobbie,2016,English,epub,843 Kb,2024-09-30 21:26:49,./downloads/Angela McRobbie - Be Creative Making a Living in the New Culture Industries.epub
"Feminism, Young Women, and Cultural Studies",Angela McRobbie,2024,English,epub,797 Kb,2024-09-30 21:26:53,"./downloads/Angela McRobbie - Feminism, Young Women, and Cultural Studies.epub"
"In the Culture Society: Art, Fashion and Popular Music",Angela McRobbie;Angela Mcrobbie,2013,English,epub,2 Mb,2024-09-30 21:27:35,"./downloads/Angela McRobbie;Angela Mcrobbie - In the Culture Society Art, Fashion and Popular Music.epub"
Feminism for Girls (RLE Feminist Theory),"Angela McRobbie,Trisha McCabe",2014,English,epub,3 Mb,2024-09-30 21:28:17,"./downloads/Angela McRobbie,Trisha McCabe - Feminism for Girls (RLE Feminist Theory).epub"
Sociology in question,Pierre Bourdieu,1993,English,epub,408 Kb,2024-09-30 21:28:29,./downloads/Pierre Bourdieu - Sociology in question.epub
All About Love: New Visions,bell hooks,2018,English,epub,974 Kb,2024-09-30 21:29:01,./downloads/bell hooks - All About Love New Visions.epub
All About Love,bell hooks,2018,English,epub,974 Kb,2024-09-30 21:29:01,./downloads/bell hooks - All About Love.epub
Belonging: A Culture of Place,"Hooks,Bell",2009;2015,English,epub,618 Kb,2024-09-30 21:29:15,"./downloads/Hooks,Bell - Belonging A Culture of Place.epub"
Black looks: race and representation,"Hooks,Bell",2015,English,epub,2 Mb,2024-09-30 21:29:50,"./downloads/Hooks,Bell - Black looks race and representation.epub"
Feminist theory: from margin to center,"hooks,bell",2015,English,epub,2 Mb,2024-09-30 21:30:02,"./downloads/hooks,bell - Feminist theory from margin to center.epub"
Breaking bread: insurgent Black intellectual life,"Hooks, Bell;West, Cornel",2017,English,epub,2 Mb,2024-09-30 21:30:15,"./downloads/Hooks, Bell;West, Cornel - Breaking bread insurgent Black intellectual life.epub"
"Yearning: Race, Gender, and Cultural Politics",bell hooks,2014,English,epub,312 Kb,2024-09-30 21:30:20,"./downloads/bell hooks - Yearning Race, Gender, and Cultural Politics.epub"
Remembered rapture : the writer at work,bell hooks,2013,English,epub,278 Kb,2024-09-30 21:30:28,./downloads/bell hooks - Remembered rapture the writer at work.epub
Sisters of the yam: black women and self-recovery,"Hooks,Bell",2015,English,epub,2 Mb,2024-09-30 21:30:35,"./downloads/Hooks,Bell - Sisters of the yam black women and self-recovery.epub"
Outlaw Culture: Resisting Representations,"hooks,bell",2012,English,epub,682 Kb,2024-09-30 21:30:44,"./downloads/hooks,bell - Outlaw Culture Resisting Representations.epub"
Ain’t I a Woman: Black Women and Feminism,Bell Hooks,2014,English,epub,2 Mb,2024-09-30 21:30:50,./downloads/Bell Hooks - Ain’t I a Woman Black Women and Feminism.epub
Writing Beyond Race,bell hooks,2012,English,epub,1 Mb,2024-09-30 21:30:56,./downloads/bell hooks - Writing Beyond Race.epub
Belonging : a culture of place,"hooks, bell;Hooks, Bell",2008,English,epub,410 Kb,2024-09-30 21:31:01,"./downloads/hooks, bell;Hooks, Bell - Belonging a culture of place.epub"
Rock my soul : Black people and self-esteem,"hooks,bell",2004,English,epub,228 Kb,2024-09-30 21:31:02,"./downloads/hooks,bell - Rock my soul Black people and self-esteem.epub"
Feminism Is For Everybody,Bell Hooks,2000,English,epub,230 Kb,2024-09-30 21:31:04,./downloads/Bell Hooks - Feminism Is For Everybody.epub
"The Will to Change: Men, Masculinity, and Love",bell hooks,2004,English,epub,190 Kb,2024-09-30 21:31:09,"./downloads/bell hooks - The Will to Change Men, Masculinity, and Love.epub"
Teaching to Transgress: Education as the Practice of Freedom,bell hooks,1994,English,epub,533 Kb,2024-09-30 21:31:14,./downloads/bell hooks - Teaching to Transgress Education as the Practice of Freedom.epub
Teaching to Transgress,bell hooks,1994,English,epub,535 Kb,2024-09-30 21:31:15,./downloads/bell hooks - Teaching to Transgress.epub
"The History of Sexuality, Volume 1: An Introduction",Michel Foucault,1978,English,epub,126 Kb,2024-09-30 21:31:26,"./downloads/Michel Foucault - The History of Sexuality, Volume 1 An Introduction.epub"
"The History of Sexuality, Volume 2: The Use of Pleasure",Michel Foucault,1990,English,epub,214 Kb,2024-09-30 21:31:30,"./downloads/Michel Foucault - The History of Sexuality, Volume 2 The Use of Pleasure.epub"
"The History of Sexuality, Volume 3: The Care of the Self",Michel Foucault,1986,English,epub,206 Kb,2024-09-30 21:31:33,"./downloads/Michel Foucault - The History of Sexuality, Volume 3 The Care of the Self.epub"
The Invention of Private Life: Literature and Ideas,Sudipta Kaviraj,2015,English,epub,17 Mb,2024-09-30 21:40:23,./downloads/Sudipta Kaviraj - The Invention of Private Life Literature and Ideas.epub
I Am the People: Reflections on Popular Sovereignty Today,Partha Chatterjee,2020,English,epub,4 Mb,2024-09-30 21:42:11,./downloads/Partha Chatterjee - I Am the People Reflections on Popular Sovereignty Today.epub
Empire and Nation: Selected Essays,Partha Chatterjee,2010,English,epub,1 Mb,2024-09-30 21:42:41,./downloads/Partha Chatterjee - Empire and Nation Selected Essays.epub
The black hole of empire: history of a global practice of power,"East India Company;Chatterjee, Partha",2012,English,epub,6 Mb,2024-09-30 21:43:41,"./downloads/East India Company;Chatterjee, Partha - The black hole of empire history of a global practice of power.epub"
Lineages of Political Society: Studies in Postcolonial Democracy,Partha Chatterjee,2011,English,epub,33 Mb,2024-09-30 21:53:22,./downloads/Partha Chatterjee - Lineages of Political Society Studies in Postcolonial Democracy.epub
"Britain in India, 1765-1905, Volume VI",John Marriott;Bhaskar Mukhopadhyay;Partha Chatterjee,2006,English,epub,39 Mb,2024-09-30 22:02:17,"./downloads/John Marriott;Bhaskar Mukhopadhyay;Partha Chatterjee - Britain in India, 1765-1905, Volume VI.epub"
The Second Wave,Rustom Bharucha;,,English,epub,6 Mb,2024-09-30 22:04:53,./downloads/Rustom Bharucha; - The Second Wave.epub
Seeing Like a Feminist,Nivedita Menon,2012,English,epub,354 Kb,2024-09-30 22:05:08,./downloads/Nivedita Menon - Seeing Like a Feminist.epub
Marketing 4.0: Moving from Traditional to Digital,"Philip Kotler,Hermawan Kartajaya,Iwan Setiawan",2016,English,epub,2 Mb,2024-09-30 22:06:03,"./downloads/Philip Kotler,Hermawan Kartajaya,Iwan Setiawan - Marketing 40 Moving from Traditional to Digital.epub"
The Quintessence of Strategic Management: What You Really Need to Know to Survive in Business,"Philip Kotler,Roland Berger,Nils Bickhoff (auth.)",2010,English,epub,1 Mb,2024-09-30 22:06:37,"./downloads/Philip Kotler,Roland Berger,Nils Bickhoff (auth) - The Quintessence of Strategic Management What You Really Need to Know to Survive in Business.epub"
Marketing Insights From A to Z: 80 Concepts Every Manager Needs to Know,Philip Kotler,2003,English,epub,1 Mb,2024-09-30 22:07:01,./downloads/Philip Kotler - Marketing Insights From A to Z 80 Concepts Every Manager Needs to Know.epub
High visibility: the making and marketing of professionals into celebrities,"Irving J. Rein,Philip Kotler,Martin R. Stoller",1997,English,epub,685 Kb,2024-09-30 22:07:09,"./downloads/Irving J Rein,Philip Kotler,Martin R Stoller - High visibility the making and marketing of professionals into celebrities.epub"
Social marketing : behavior change for social good,"Kotler, Philip;Lee, Nancy",2019,English,epub,16 Mb,2024-09-30 22:11:54,"./downloads/Kotler, Philip;Lee, Nancy - Social marketing behavior change for social good.epub"
Principles of Marketing,"Philip Kotler,Gary Armstrong,Lloyd Harris,Nigel F. Piercy",2013,English,epub,41 Mb,2024-09-30 22:17:23,"./downloads/Philip Kotler,Gary Armstrong,Lloyd Harris,Nigel F Piercy - Principles of Marketing.epub"
Consumer Culture Theory,"Domen Bajde (editor),Dannie Kjeldgaard (editor),Russell W. Belk (editor)",2019,English,epub,1 Mb,2024-09-30 22:18:14,"./downloads/Domen Bajde (editor),Dannie Kjeldgaard (editor),Russell W Belk (editor) - Consumer Culture Theory.epub"
Qualitative Consumer Research,Naresh K. Malhotra;Russell W. Belk,2017,English,epub,2 Mb,2024-09-30 22:18:42,./downloads/Naresh K Malhotra;Russell W Belk - Qualitative Consumer Research.epub
The New Chameleons,"Solomon, Michael R.;",2021,English,epub,3 Mb,2024-09-30 22:19:58,"./downloads/Solomon, Michael R; - The New Chameleons.epub"
The Routledge Companion to Consumer Behavior,"Lowrey, Tina M.;Solomon, Michael R",2018,English,epub,5 Mb,2024-09-30 22:21:30,"./downloads/Lowrey, Tina M;Solomon, Michael R - The Routledge Companion to Consumer Behavior.epub"
"Blockchain: A Practical Guide to Developing Business, Law, and Technology Solutions","Joseph J. Bambara,Paul R. Allen,Kedar Iyer,Rene Madsen,Solomon Lederer,Michael Wuehler",2018,English,epub,25 Mb,2024-09-30 22:28:03,"./downloads/Joseph J Bambara,Paul R Allen,Kedar Iyer,Rene Madsen,Solomon Lederer,Michael Wuehler - Blockchain A Practical Guide to Developing Business, Law, and Technology Solutions.epub"
apley's system of orthopedics and fracture trauma 10th 2021 (Apleys Orthopaedics),"Blom,Ashley,Solomon,Louis,Warwick,David,Whitehouse,Michael R",2018,English,epub,27 Mb,2024-09-30 22:28:37,"./downloads/Blom,Ashley,Solomon,Louis,Warwick,David,Whitehouse,Michael R - apley's system of orthopedics and fracture trauma 10th 2021 (Apleys Orthopaedics).epub"
Virtual Social Identity and Consumer Behavior,"Solomon, Michael R.;Wood, Natalie T",2015,English,epub,8 Mb,2024-09-30 22:30:25,"./downloads/Solomon, Michael R;Wood, Natalie T - Virtual Social Identity and Consumer Behavior.epub"
The Definitive Guide to Customer Relationship Management,"V. Kumar,Richard Hammond,Herb Sorensen,Michael R. Solomon",2012,English,epub,5 Mb,2024-09-30 22:30:28,"./downloads/V Kumar,Richard Hammond,Herb Sorensen,Michael R Solomon - The Definitive Guide to Customer Relationship Management.epub"
"Consumer Behaviour: Buying, Having, Being","Michael R. Solomon,Rebekah Russell-Bennett,Josephine Previte,Ryan Payne",2022,English,epub,85 Mb,2024-09-30 22:54:41,"./downloads/Michael R Solomon,Rebekah Russell-Bennett,Josephine Previte,Ryan Payne - Consumer Behaviour Buying, Having, Being.epub"
Give Your Business a Heart (Collection),David B. Wolfe;Rajendra S. Sisodia;Jagdish N. Sheth;Dev Patnaik,2014,English,epub,1 Mb,2024-09-30 22:56:21,./downloads/David B Wolfe;Rajendra S Sisodia;Jagdish N Sheth;Dev Patnaik - Give Your Business a Heart (Collection).epub
The Sustainability Edge: How to Drive Top-Line Growth with Triple-Bottom-Line Thinking,Suhas Apte;Jagdish N. Sheth,2017,English,epub,4 Mb,2024-09-30 22:57:02,./downloads/Suhas Apte;Jagdish N Sheth - The Sustainability Edge How to Drive Top-Line Growth with Triple-Bottom-Line Thinking.epub
Customer Centric Support Services in the Digital Age: The Next Frontier of Competitive Advantage,"Jagdish N. Sheth (editor),Varsha Jain (editor),Emmanuel Mogaji (editor),Anupama Ambika (editor)",2024,English,epub,4 Mb,2024-09-30 22:57:04,"./downloads/Jagdish N Sheth (editor),Varsha Jain (editor),Emmanuel Mogaji (editor),Anupama Ambika (editor) - Customer Centric Support Services in the Digital Age The Next Frontier of Competitive Advantage.epub"
Firms of Endearment: How World-Class Companies Profit from Passion and Purpose,"Rajendra S. Sisodia,David B. Wolfe,Jagdish N. Sheth",2007,English,epub,623 Kb,2024-09-30 22:57:17,"./downloads/Rajendra S Sisodia,David B Wolfe,Jagdish N Sheth - Firms of Endearment How World-Class Companies Profit from Passion and Purpose.epub"
Firms of endearment how world-class companies profit from passion and purpose,Rajendra S. Sisodia;David B. Wolfe;Jagdish N. Sheth,2007,English,epub,906 Kb,2024-09-30 22:57:29,./downloads/Rajendra S Sisodia;David B Wolfe;Jagdish N Sheth - Firms of endearment how world-class companies profit from passion and purpose.epub
The Accidental Scholar,Jagdish N. Sheth;John Yow,2014,English,epub,7 Mb,2024-09-30 22:59:05,./downloads/Jagdish N Sheth;John Yow - The Accidental Scholar.epub
IIMA--Strategies For Growth: Help Your Business Move Up The Ladder,Atanu Ghosh,2016,English,epub,1005 Kb,2024-09-30 22:59:44,./downloads/Atanu Ghosh - IIMA--Strategies For Growth Help Your Business Move Up The Ladder.epub
How People Buy Online : The Psychology Behind Consumer Behaviour,Seema Gupta,2021,English,epub,14 Mb,2024-09-30 23:04:28,./downloads/Seema Gupta - How People Buy Online The Psychology Behind Consumer Behaviour.epub
Baby Care & Child Health Problems,Seema Gupta,2012,English,epub,5 Mb,2024-09-30 23:06:06,./downloads/Seema Gupta - Baby Care & Child Health Problems.epub
Correct Manners & Etiquette Developing a pleasing personality,"Gupta,Seema",2012;2011,English,epub,3 Mb,2024-09-30 23:06:55,"./downloads/Gupta,Seema - Correct Manners & Etiquette Developing a pleasing personality.epub"
Onco-critical Care: An Evidence-based Approach,Vinod Kumar;Nishkarsh Gupta;Seema Mishra,2022,English,epub,20 Mb,2024-09-30 23:08:24,./downloads/Vinod Kumar;Nishkarsh Gupta;Seema Mishra - Onco-critical Care An Evidence-based Approach.epub
Ramayana,Seema Gupta,2012,English,epub,7 Mb,2024-09-30 23:08:54,./downloads/Seema Gupta - Ramayana.epub
Teenage Parenting: Bridging the Generation Gap,Seema Gupta,2012,English,epub,3 Mb,2024-09-30 23:09:28,./downloads/Seema Gupta - Teenage Parenting Bridging the Generation Gap.epub
Peri-operative Anesthetic Management in Liver Transplantation,Vijay Vohra;Nikunj Gupta;Annu Sarin Jolly;Seema Bhalotra,2023,English,epub,68 Mb,2024-09-30 23:19:42,./downloads/Vijay Vohra;Nikunj Gupta;Annu Sarin Jolly;Seema Bhalotra - Peri-operative Anesthetic Management in Liver Transplantation.epub
"Legitimacy and revolution in a society of masses : Max Weber, Antonio Gramsci, and the fin-de-siècle debate on social order","Giglioli, M. F. N.;Gramsci, Antonio - Pensiero politico;Weber, Max - Pensiero politico",2013,English,epub,564 Kb,2024-09-30 23:20:32,"./downloads/Giglioli, M F N;Gramsci, Antonio - Pensiero politico;Weber, Max - Pensiero politico - Legitimacy and revolution in a society of masses Max Weber, Antonio Gramsci, and the fin-de-siècle debate on social order.epub"
The Agrarian Sociology Of Ancient Civilizations,Max Weber,2013,English,epub,2 Mb,2024-09-30 23:21:03,./downloads/Max Weber - The Agrarian Sociology Of Ancient Civilizations.epub
The Layout Look Book,Max Weber,2007,English,epub,87 Mb,2024-09-30 23:52:02,./downloads/Max Weber - The Layout Look Book.epub
Durkheim and the Internet: sociolinguistics and the sociological imagination,"Blommaert, Jan;Durkheim, Émile",2018,English,epub,280 Kb,2024-09-30 23:52:40,"./downloads/Blommaert, Jan;Durkheim, Émile - Durkheim and the Internet sociolinguistics and the sociological imagination.epub"
Professional Ethics and Civic Morals,"Durkheim,Émile",2019,English,epub,646 Kb,2024-09-30 23:52:47,"./downloads/Durkheim,Émile - Professional Ethics and Civic Morals.epub"
The Rules of Sociological Method: And Selected Texts on Sociology and its Method,Emile Durkheim,2014,English,epub,784 Kb,2024-09-30 23:52:50,./downloads/Emile Durkheim - The Rules of Sociological Method And Selected Texts on Sociology and its Method.epub
The rules of sociological method and selected texts on sociology and its method,"Durkheim, Emile;Lukes, Steven",2014,English,epub,2 Mb,2024-09-30 23:53:09,"./downloads/Durkheim, Emile;Lukes, Steven - The rules of sociological method and selected texts on sociology and its method.epub"
The Division of Labor in Society,"Durkheim,Emile",2014;2018,English,epub,3 Mb,2024-09-30 23:53:22,"./downloads/Durkheim,Emile - The Division of Labor in Society.epub"
Suicide,"Durkheim, Emile;Simpson, George;Spaulding, John A",2010;2003,English,epub,3 Mb,2024-09-30 23:53:52,"./downloads/Durkheim, Emile;Simpson, George;Spaulding, John A - Suicide.epub"
A life with Mary Shelley,Barbara Johnson &;Shoshana Felman &;Judith Butler,2014,English,epub,821 Kb,2024-09-30 23:54:19,./downloads/Barbara Johnson &;Shoshana Felman &;Judith Butler - A life with Mary Shelley.epub
A Semite: A Memoir of Algeria,"Denis Guenoun,Ann Smock,William Smock,Judith Butler",2014,English,epub,1 Mb,2024-09-30 23:54:31,"./downloads/Denis Guenoun,Ann Smock,William Smock,Judith Butler - A Semite A Memoir of Algeria.epub"
Bodies That Matter: On the Discursive Limits of Sex,Judith Butler,2011,English,epub,2 Mb,2024-09-30 23:55:05,./downloads/Judith Butler - Bodies That Matter On the Discursive Limits of Sex.epub
What does a Jew want? : on binationalism and other specters,"Aloni, Udi;Žižek, Slavoj;Aloni, Udi;Badiou, Alain;Butler, Judith",2011,English,epub,3 Mb,2024-09-30 23:55:42,"./downloads/Aloni, Udi;Žižek, Slavoj;Aloni, Udi;Badiou, Alain;Butler, Judith - What does a Jew want on binationalism and other specters.epub"
Gender Trouble: Feminism and the Subversion of Identity (Routledge Classics Edition),Judith Butler,2006,English,epub,351 Kb,2024-09-30 23:55:47,./downloads/Judith Butler - Gender Trouble Feminism and the Subversion of Identity (Routledge Classics Edition).epub
Undoing Gender,Judith Butler,2004,English,epub,282 Kb,2024-09-30 23:55:54,./downloads/Judith Butler - Undoing Gender.epub
Subjects of Desire: Hegelian Reflections in Twentieth-Century France,Judith Butler,2012,English,epub,15 Mb,2024-09-30 23:58:42,./downloads/Judith Butler - Subjects of Desire Hegelian Reflections in Twentieth-Century France.epub
Medicare: Preparing for the Challenges of the 21st Century (Conference of the National Academy of Social Insurance),"Robert D. Reischauer,Stuart Butler,Judith R. Lave",1998,English,epub,1 Mb,2024-09-30 23:59:10,"./downloads/Robert D Reischauer,Stuart Butler,Judith R Lave - Medicare Preparing for the Challenges of the 21st Century (Conference of the National Academy of Social Insurance).epub"
Parting ways : Jewishness and the critique of Zionism,"Butler,Judith",2012,English,epub,15 Mb,2024-09-30 23:59:12,"./downloads/Butler,Judith - Parting ways Jewishness and the critique of Zionism.epub"
Dispossession: The Performative in the Political,Judith Butler,,English,epub,928 Kb,2024-09-30 23:59:34,./downloads/Judith Butler - Dispossession The Performative in the Political.epub
Antigone’s Claim: Kinship Between Life and Death,Judith Butler,2000,English,epub,17 Mb,2024-10-01 00:00:07,./downloads/Judith Butler - Antigone’s Claim Kinship Between Life and Death.epub
Seventeen Contradictions and the End of Capitalism,David Harvey,2014,English,epub,455 Kb,2024-10-01 00:00:39,./downloads/David Harvey - Seventeen Contradictions and the End of Capitalism.epub
